ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Roubo de Arma de Fogo                                                     ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.45                                               ;Furto de Arma de Fogo                                                     ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;7,65mm                                            ;Apreensão de Arma de Fogo                                                 ;S;1
2025;01;CE;FORTALEZA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;01;CE;FORTALEZA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreensão de Arma de Fogo                                                 ;S;1
2025;01;CE;HORIZONTE                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;HORIZONTE                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Recuperação de Arma de Fogo                                               ;N;1
2025;01;CE;IRAUÇUBA                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Recuperação de Arma de Fogo                                               ;N;1
2025;01;CE;JUAZEIRO DO NORTE                  ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;Apreensão de Arma de Fogo                                                 ;S;1
2025;01;CE;JUAZEIRO DO NORTE                  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;CE;MARACANAÚ                          ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;01;CE;MORADA NOVA                        ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;QUIXADÁ                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;N;1
2025;01;CE;RUSSAS                             ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;RUSSAS                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;N;1
2025;01;CE;RUSSAS                             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;01;CE;RUSSAS                             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Recuperação de Arma de Fogo                                               ;N;1
2025;01;CE;SOBRAL                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;01;CE;SOBRAL                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;DF;BRASÍLIA                           ;Espingarda                                        ;MAVERICK (BY MOSSBERG)                                                ;12                                                ;Apreensão de Arma de Fogo                                                 ;S;1
2025;01;DF;BRASÍLIA                           ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;Apreensão de Arma de Fogo                                                 ;S;1
2025;01;DF;BRASÍLIA                           ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;Furto de Arma de Fogo                                                     ;S;1
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;Apreensão de Arma de Fogo                                                 ;S;3
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;S;2
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Campanha do Desarmamento                                                  ;S;2
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreensão de Arma de Fogo                                                 ;S;1
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Apreensão de Arma de Fogo                                                 ;S;2
2025;01;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;7,65mm                                            ;Apreensão de Arma de Fogo                                                 ;S;1
