ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL;DATA
2025;1;GO;JATAÍ                              ;Carabina/Fuzil                                    ;TAURUS ARMAS S.A.                                                     ;5,56x45mm                                         ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;GO;JATAÍ                              ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;GO;JATAÍ                              ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;GO;LUZIÂNIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;GO;MINEIROS                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Extravio/Perda de Arma de Fogo;N;1;2025-01-01
2025;1;GO;MONTES CLAROS DE GOIÁS             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;GO;MONTES CLAROS DE GOIÁS             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apreensão de Arma de Fogo;N;5;2025-01-01
2025;1;GO;PIRENÓPOLIS                        ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.32                                               ;Extravio/Perda de Arma de Fogo;N;1;2025-01-01
2025;1;GO;PLANALTINA                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo;N;1;2025-01-01
2025;1;GO;PONTALINA                          ;Carabina                                          ;WINCHESTER                                                            ;.44 Magnum                                        ;Apostilada no Exercito;N;1;2025-01-01
2025;1;GO;PONTALINA                          ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;Apostilada no Exercito;N;1;2025-01-01
2025;1;GO;RIO VERDE                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;GO;RIO VERDE                          ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;GO;SENADOR CANEDO                     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;GO;VIANÓPOLIS                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;GO;ÁGUAS LINDAS DE GOIÁS              ;Pistola                                           ;CZ (CESKOSLOVENSKA ZBROJOVKA)                                         ;.380                                              ;Apreensão de Arma de Fogo;S;1;2025-01-01
2025;1;MA;BALSAS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Roubo de Arma de Fogo;N;1;2025-01-01
